compound: 0.1415, neg: 0.058, neu: 0.882, pos: 0.06, 
compound: 0.5267, neg: 0.046, neu: 0.901, pos: 0.053, 
compound: -0.4118, neg: 0.09, neu: 0.823, pos: 0.087, 
compound: 0.9618, neg: 0.0, neu: 0.909, pos: 0.091, 
compound: 0.9118, neg: 0.084, neu: 0.811, pos: 0.105, 
compound: -0.3612, neg: 0.057, neu: 0.889, pos: 0.055, 
compound: 0.9698, neg: 0.0, neu: 0.895, pos: 0.105, 
compound: 0.9688, neg: 0.049, neu: 0.825, pos: 0.126, 
compound: 0.9972, neg: 0.031, neu: 0.805, pos: 0.164, 
compound: -0.9517, neg: 0.109, neu: 0.854, pos: 0.036, 
compound: 0.9816, neg: 0.059, neu: 0.819, pos: 0.122, 
compound: 0.9666, neg: 0.01, neu: 0.871, pos: 0.118, 
compound: 0.9828, neg: 0.0, neu: 0.823, pos: 0.177, 
compound: 0.765, neg: 0.05, neu: 0.843, pos: 0.108, 
compound: 0.9769, neg: 0.014, neu: 0.873, pos: 0.113, 
compound: 0.9924, neg: 0.052, neu: 0.814, pos: 0.134, 
compound: -0.9519, neg: 0.147, neu: 0.791, pos: 0.062, 
compound: 0.9875, neg: 0.033, neu: 0.813, pos: 0.154, 
compound: 0.9797, neg: 0.089, neu: 0.769, pos: 0.143, 
compound: 0.2681, neg: 0.052, neu: 0.876, pos: 0.072, 
compound: 0.9971, neg: 0.009, neu: 0.703, pos: 0.288, 
compound: 0.9657, neg: 0.02, neu: 0.836, pos: 0.143, 
compound: 0.9983, neg: 0.014, neu: 0.645, pos: 0.341, 
compound: 0.9757, neg: 0.096, neu: 0.771, pos: 0.133, 
compound: 0.9949, neg: 0.037, neu: 0.813, pos: 0.15, 
compound: -0.9897, neg: 0.206, neu: 0.767, pos: 0.027, 
compound: -0.9442, neg: 0.117, neu: 0.84, pos: 0.044, 
compound: -0.9948, neg: 0.16, neu: 0.777, pos: 0.063, 
compound: 0.9862, neg: 0.0, neu: 0.779, pos: 0.221, 
compound: -0.34, neg: 0.045, neu: 0.917, pos: 0.039, 
compound: 0.996, neg: 0.051, neu: 0.746, pos: 0.203, 
compound: 0.6705, neg: 0.075, neu: 0.828, pos: 0.097, 
compound: 1.0, neg: 0.075, neu: 0.668, pos: 0.256, 
compound: 0.9834, neg: 0.022, neu: 0.853, pos: 0.125, 
compound: 0.986, neg: 0.048, neu: 0.85, pos: 0.102, 
