compound: 0.9637, neg: 0.02, neu: 0.865, pos: 0.115, 
compound: -0.5023, neg: 0.087, neu: 0.855, pos: 0.059, 
compound: 0.9985, neg: 0.028, neu: 0.746, pos: 0.226, 
compound: 0.9856, neg: 0.015, neu: 0.83, pos: 0.155, 
compound: -0.9531, neg: 0.119, neu: 0.819, pos: 0.062, 
compound: 0.9851, neg: 0.093, neu: 0.772, pos: 0.135, 
compound: 0.9957, neg: 0.039, neu: 0.759, pos: 0.202, 
compound: 0.7752, neg: 0.018, neu: 0.927, pos: 0.055, 
compound: 0.9509, neg: 0.053, neu: 0.777, pos: 0.17, 
compound: 0.9944, neg: 0.037, neu: 0.779, pos: 0.183, 
compound: 0.6659, neg: 0.045, neu: 0.894, pos: 0.062, 
compound: 0.8969, neg: 0.08, neu: 0.787, pos: 0.134, 
compound: -0.9365, neg: 0.086, neu: 0.892, pos: 0.022, 
compound: 0.9439, neg: 0.031, neu: 0.893, pos: 0.076, 
compound: 0.8969, neg: 0.08, neu: 0.787, pos: 0.134, 
compound: 0.1911, neg: 0.079, neu: 0.83, pos: 0.091, 
compound: 0.8511, neg: 0.075, neu: 0.802, pos: 0.123, 
compound: 0.8511, neg: 0.075, neu: 0.802, pos: 0.123, 
compound: -0.9395, neg: 0.141, neu: 0.821, pos: 0.038, 
compound: -0.9104, neg: 0.097, neu: 0.826, pos: 0.077, 
compound: 0.9881, neg: 0.039, neu: 0.73, pos: 0.232, 
compound: 0.9714, neg: 0.0, neu: 0.827, pos: 0.173, 
compound: -0.9666, neg: 0.16, neu: 0.784, pos: 0.057, 
compound: 0.9912, neg: 0.019, neu: 0.845, pos: 0.136, 
compound: 0.923, neg: 0.037, neu: 0.864, pos: 0.099, 
compound: 0.7845, neg: 0.0, neu: 0.935, pos: 0.065, 
compound: 0.9947, neg: 0.04, neu: 0.768, pos: 0.192, 
compound: 0.9585, neg: 0.083, neu: 0.793, pos: 0.124, 
compound: 0.9378, neg: 0.078, neu: 0.816, pos: 0.106, 
compound: 0.948, neg: 0.036, neu: 0.87, pos: 0.093, 
compound: 0.9661, neg: 0.025, neu: 0.834, pos: 0.141, 
compound: 0.9531, neg: 0.024, neu: 0.864, pos: 0.113, 
compound: 0.7056, neg: 0.101, neu: 0.792, pos: 0.107, 
compound: 0.9968, neg: 0.018, neu: 0.802, pos: 0.181, 
compound: 0.9785, neg: 0.074, neu: 0.764, pos: 0.163, 
compound: 0.9685, neg: 0.066, neu: 0.813, pos: 0.121, 
compound: -0.3989, neg: 0.086, neu: 0.846, pos: 0.068, 
compound: 0.9761, neg: 0.085, neu: 0.784, pos: 0.131, 
compound: 0.7584, neg: 0.013, neu: 0.904, pos: 0.083, 
compound: -0.8, neg: 0.092, neu: 0.84, pos: 0.068, 
compound: 0.9039, neg: 0.075, neu: 0.803, pos: 0.121, 
compound: 0.9521, neg: 0.046, neu: 0.809, pos: 0.145, 
compound: 0.9907, neg: 0.032, neu: 0.864, pos: 0.104, 
compound: -0.9598, neg: 0.16, neu: 0.721, pos: 0.119, 
compound: 0.8683, neg: 0.078, neu: 0.836, pos: 0.087, 
compound: 0.7456, neg: 0.114, neu: 0.757, pos: 0.129, 
compound: 0.983, neg: 0.026, neu: 0.862, pos: 0.111, 
compound: 0.6261, neg: 0.05, neu: 0.883, pos: 0.068, 
compound: 0.9907, neg: 0.06, neu: 0.809, pos: 0.132, 
compound: 0.9982, neg: 0.04, neu: 0.743, pos: 0.216, 
compound: 0.9681, neg: 0.032, neu: 0.869, pos: 0.099, 
compound: 0.9873, neg: 0.084, neu: 0.73, pos: 0.186, 
compound: -0.9212, neg: 0.105, neu: 0.83, pos: 0.065, 
