compound: 0.9349, neg: 0.029, neu: 0.89, pos: 0.081, 
compound: -0.9819, neg: 0.12, neu: 0.825, pos: 0.055, 
compound: 0.9274, neg: 0.016, neu: 0.913, pos: 0.072, 
compound: 0.9859, neg: 0.034, neu: 0.897, pos: 0.069, 
compound: 0.9678, neg: 0.006, neu: 0.885, pos: 0.109, 
compound: 0.9586, neg: 0.014, neu: 0.938, pos: 0.048, 
compound: -0.9774, neg: 0.132, neu: 0.758, pos: 0.11, 
compound: 0.979, neg: 0.01, neu: 0.903, pos: 0.087, 
compound: 0.979, neg: 0.01, neu: 0.903, pos: 0.087, 
compound: 0.9944, neg: 0.019, neu: 0.835, pos: 0.146, 
compound: 0.9966, neg: 0.01, neu: 0.86, pos: 0.13, 
compound: 0.9679, neg: 0.062, neu: 0.814, pos: 0.124, 
compound: 0.9976, neg: 0.007, neu: 0.828, pos: 0.165, 
compound: 0.9944, neg: 0.064, neu: 0.728, pos: 0.208, 
compound: 0.9818, neg: 0.019, neu: 0.868, pos: 0.113, 
compound: 0.9866, neg: 0.017, neu: 0.897, pos: 0.086, 
compound: 0.9988, neg: 0.021, neu: 0.842, pos: 0.136, 
compound: 0.975, neg: 0.003, neu: 0.923, pos: 0.073, 
compound: -0.9313, neg: 0.105, neu: 0.841, pos: 0.055, 
compound: 0.974, neg: 0.023, neu: 0.887, pos: 0.09, 
compound: 0.9608, neg: 0.027, neu: 0.897, pos: 0.076, 
compound: 0.9788, neg: 0.04, neu: 0.843, pos: 0.118, 
compound: -0.9821, neg: 0.107, neu: 0.837, pos: 0.056, 
compound: 0.9042, neg: 0.005, neu: 0.944, pos: 0.051, 
compound: 0.946, neg: 0.011, neu: 0.921, pos: 0.068, 
compound: 0.9622, neg: 0.016, neu: 0.888, pos: 0.096, 
compound: 0.9945, neg: 0.029, neu: 0.879, pos: 0.091, 
compound: 0.9927, neg: 0.031, neu: 0.848, pos: 0.121, 
compound: -0.6613, neg: 0.065, neu: 0.879, pos: 0.056, 
compound: -0.9922, neg: 0.158, neu: 0.743, pos: 0.1, 
compound: -0.9992, neg: 0.163, neu: 0.76, pos: 0.078, 
compound: -0.9948, neg: 0.146, neu: 0.804, pos: 0.049, 
compound: 0.9634, neg: 0.004, neu: 0.936, pos: 0.06, 
compound: 0.996, neg: 0.013, neu: 0.858, pos: 0.129, 
compound: 0.9744, neg: 0.019, neu: 0.887, pos: 0.094, 
compound: 0.9753, neg: 0.028, neu: 0.901, pos: 0.071, 
compound: 0.9889, neg: 0.063, neu: 0.769, pos: 0.168, 
compound: -0.9456, neg: 0.095, neu: 0.831, pos: 0.074, 
compound: 0.9947, neg: 0.0, neu: 0.865, pos: 0.135, 
compound: -0.9474, neg: 0.087, neu: 0.874, pos: 0.039, 
compound: 0.7674, neg: 0.065, neu: 0.858, pos: 0.077, 
compound: 0.971, neg: 0.045, neu: 0.882, pos: 0.074, 
compound: 0.9808, neg: 0.035, neu: 0.848, pos: 0.117, 
compound: 0.9847, neg: 0.0, neu: 0.914, pos: 0.086, 
compound: -0.8498, neg: 0.068, neu: 0.894, pos: 0.038, 
compound: 0.9578, neg: 0.037, neu: 0.876, pos: 0.087, 
compound: 0.9467, neg: 0.0, neu: 0.951, pos: 0.049, 
compound: 0.9592, neg: 0.022, neu: 0.905, pos: 0.073, 
compound: 0.995, neg: 0.068, neu: 0.778, pos: 0.154, 
compound: -0.8781, neg: 0.149, neu: 0.752, pos: 0.099, 
compound: -0.7838, neg: 0.059, neu: 0.895, pos: 0.045, 
compound: 0.3309, neg: 0.019, neu: 0.953, pos: 0.028, 
compound: 0.8964, neg: 0.08, neu: 0.835, pos: 0.085, 
compound: -0.9849, neg: 0.102, neu: 0.862, pos: 0.036, 
compound: 0.9554, neg: 0.026, neu: 0.916, pos: 0.058, 
compound: 0.9709, neg: 0.03, neu: 0.893, pos: 0.077, 
compound: 0.8499, neg: 0.107, neu: 0.777, pos: 0.116, 
compound: 0.9944, neg: 0.019, neu: 0.835, pos: 0.146, 
compound: 0.9933, neg: 0.02, neu: 0.89, pos: 0.09, 
compound: -0.9914, neg: 0.165, neu: 0.76, pos: 0.075, 
compound: 0.9938, neg: 0.055, neu: 0.802, pos: 0.143, 
compound: -0.0644, neg: 0.058, neu: 0.873, pos: 0.069, 
compound: 0.9604, neg: 0.035, neu: 0.892, pos: 0.073, 
compound: 0.9744, neg: 0.031, neu: 0.857, pos: 0.112, 
compound: 0.9927, neg: 0.004, neu: 0.92, pos: 0.076, 
compound: 0.9606, neg: 0.017, neu: 0.927, pos: 0.056, 
compound: 0.0516, neg: 0.058, neu: 0.872, pos: 0.07, 
compound: 0.9554, neg: 0.026, neu: 0.916, pos: 0.058, 
compound: -0.9849, neg: 0.102, neu: 0.862, pos: 0.036, 
compound: -0.9811, neg: 0.149, neu: 0.778, pos: 0.073, 
compound: 0.9945, neg: 0.012, neu: 0.896, pos: 0.092, 
compound: 0.986, neg: 0.017, neu: 0.907, pos: 0.076, 
compound: 0.8307, neg: 0.033, neu: 0.889, pos: 0.078, 
compound: -0.9852, neg: 0.109, neu: 0.83, pos: 0.061, 
compound: 0.9601, neg: 0.032, neu: 0.857, pos: 0.111, 
compound: 0.9679, neg: 0.062, neu: 0.814, pos: 0.124, 
compound: 0.4774, neg: 0.039, neu: 0.912, pos: 0.049, 
compound: 0.992, neg: 0.039, neu: 0.863, pos: 0.097, 
compound: 0.9238, neg: 0.035, neu: 0.894, pos: 0.071, 
compound: 0.7925, neg: 0.013, neu: 0.939, pos: 0.048, 
compound: 0.6916, neg: 0.011, neu: 0.937, pos: 0.052, 
compound: 0.9432, neg: 0.019, neu: 0.893, pos: 0.088, 
compound: 0.9853, neg: 0.009, neu: 0.921, pos: 0.07, 
compound: -0.4767, neg: 0.079, neu: 0.842, pos: 0.079, 
compound: 0.9371, neg: 0.012, neu: 0.911, pos: 0.077, 
compound: 0.9696, neg: 0.023, neu: 0.896, pos: 0.081, 
compound: 0.97, neg: 0.096, neu: 0.759, pos: 0.145, 
compound: -0.9986, neg: 0.219, neu: 0.671, pos: 0.109, 
compound: 0.9871, neg: 0.02, neu: 0.875, pos: 0.105, 
compound: 0.9694, neg: 0.007, neu: 0.9, pos: 0.093, 
compound: -0.9278, neg: 0.093, neu: 0.889, pos: 0.018, 
compound: 0.7713, neg: 0.019, neu: 0.939, pos: 0.042, 
compound: 0.9543, neg: 0.049, neu: 0.852, pos: 0.099, 
compound: 0.751, neg: 0.04, neu: 0.906, pos: 0.054, 
compound: 0.9186, neg: 0.078, neu: 0.801, pos: 0.121, 
compound: 0.8934, neg: 0.025, neu: 0.922, pos: 0.053, 
compound: 0.9259, neg: 0.006, neu: 0.928, pos: 0.066, 
compound: 0.9635, neg: 0.046, neu: 0.846, pos: 0.108, 
compound: 0.9805, neg: 0.008, neu: 0.913, pos: 0.079, 
compound: -0.8582, neg: 0.101, neu: 0.829, pos: 0.071, 
compound: 0.7311, neg: 0.041, neu: 0.891, pos: 0.068, 
compound: 0.8583, neg: 0.038, neu: 0.89, pos: 0.072, 
compound: 0.9705, neg: 0.026, neu: 0.898, pos: 0.076, 
compound: 0.9851, neg: 0.042, neu: 0.854, pos: 0.104, 
compound: 0.8689, neg: 0.0, neu: 0.941, pos: 0.059, 
compound: 0.9762, neg: 0.031, neu: 0.881, pos: 0.089, 
compound: 0.9282, neg: 0.052, neu: 0.881, pos: 0.068, 
compound: 0.5341, neg: 0.031, neu: 0.92, pos: 0.049, 
compound: 0.9852, neg: 0.052, neu: 0.798, pos: 0.15, 
compound: 0.9903, neg: 0.033, neu: 0.868, pos: 0.099, 
compound: 0.9877, neg: 0.013, neu: 0.888, pos: 0.1, 
compound: 0.8404, neg: 0.043, neu: 0.881, pos: 0.076, 
compound: -0.9969, neg: 0.139, neu: 0.813, pos: 0.048, 
compound: -0.5688, neg: 0.056, neu: 0.905, pos: 0.039, 
compound: -0.8777, neg: 0.119, neu: 0.809, pos: 0.072, 
compound: -0.9962, neg: 0.185, neu: 0.781, pos: 0.034, 
compound: 0.9957, neg: 0.024, neu: 0.815, pos: 0.162, 
compound: 0.9836, neg: 0.006, neu: 0.923, pos: 0.071, 
compound: 0.9956, neg: 0.009, neu: 0.876, pos: 0.115, 
compound: 0.9916, neg: 0.012, neu: 0.907, pos: 0.081, 
compound: 0.9886, neg: 0.047, neu: 0.827, pos: 0.126, 
compound: 0.9712, neg: 0.009, neu: 0.919, pos: 0.072, 
compound: 0.9946, neg: 0.037, neu: 0.838, pos: 0.126, 
compound: -0.9157, neg: 0.09, neu: 0.833, pos: 0.077, 
compound: 0.9556, neg: 0.051, neu: 0.87, pos: 0.079, 
compound: 0.992, neg: 0.039, neu: 0.86, pos: 0.101, 
compound: -0.791, neg: 0.123, neu: 0.782, pos: 0.095, 
compound: 0.9883, neg: 0.067, neu: 0.819, pos: 0.114, 
compound: 0.964, neg: 0.034, neu: 0.893, pos: 0.073, 
compound: 0.6087, neg: 0.041, neu: 0.897, pos: 0.062, 
compound: -0.857, neg: 0.106, neu: 0.794, pos: 0.1, 
compound: 0.9867, neg: 0.011, neu: 0.901, pos: 0.087, 
compound: -0.6655, neg: 0.08, neu: 0.868, pos: 0.052, 
compound: 0.9586, neg: 0.014, neu: 0.938, pos: 0.048, 
compound: 0.974, neg: 0.023, neu: 0.887, pos: 0.09, 
compound: 0.9051, neg: 0.051, neu: 0.87, pos: 0.079, 
compound: 0.9866, neg: 0.014, neu: 0.899, pos: 0.087, 
compound: 0.9945, neg: 0.012, neu: 0.896, pos: 0.092, 
compound: 0.9753, neg: 0.028, neu: 0.901, pos: 0.071, 
compound: 0.9705, neg: 0.026, neu: 0.898, pos: 0.076, 
compound: 0.9762, neg: 0.031, neu: 0.881, pos: 0.089, 
compound: -0.9969, neg: 0.139, neu: 0.813, pos: 0.048, 
compound: 0.9985, neg: 0.022, neu: 0.848, pos: 0.131, 
compound: 0.9992, neg: 0.031, neu: 0.823, pos: 0.145, 
compound: 0.9712, neg: 0.009, neu: 0.919, pos: 0.072, 
compound: -0.9571, neg: 0.128, neu: 0.813, pos: 0.059, 
compound: 0.9883, neg: 0.067, neu: 0.819, pos: 0.114, 
compound: 0.9969, neg: 0.01, neu: 0.881, pos: 0.108, 
compound: 0.9754, neg: 0.012, neu: 0.944, pos: 0.044, 
compound: 0.9213, neg: 0.043, neu: 0.9, pos: 0.057, 
compound: 0.9881, neg: 0.085, neu: 0.752, pos: 0.163, 
compound: 0.9972, neg: 0.028, neu: 0.86, pos: 0.112, 
compound: 0.9543, neg: 0.016, neu: 0.91, pos: 0.074, 
compound: 0.9989, neg: 0.039, neu: 0.806, pos: 0.155, 
compound: 0.9975, neg: 0.02, neu: 0.858, pos: 0.121, 
compound: 0.9357, neg: 0.035, neu: 0.905, pos: 0.06, 
compound: -0.9564, neg: 0.121, neu: 0.827, pos: 0.052, 
compound: -0.9845, neg: 0.105, neu: 0.865, pos: 0.031, 
compound: -0.4459, neg: 0.073, neu: 0.849, pos: 0.078, 
compound: 0.8271, neg: 0.034, neu: 0.89, pos: 0.076, 
compound: 0.9903, neg: 0.015, neu: 0.881, pos: 0.104, 
